"PVWatts Hourly PV Performance Data"
"Requested Location","San Diego"
"Location","Lat, Lng: 32.73, -117.18"
"Latitude (DD)","32.73"
"Longitude (DD)","-117.18"
"Elevation (m)","24"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","47.94"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","22","8","0","33","19","1.8","0.15","24.079","19.61","74.849","56.343"
"3","22","9","0","122","19.6","2.2","0.15","90.438","21.708","292.221","266.012"
"3","22","10","14","251","19.9","2.6","0.15","205.28","24.333","673.042","633.339"
"3","22","11","7","193","20","2.9","0.15","152.868","23.128","496.727","463.271"
"3","22","12","11","230","19.9","3","0.15","186.192","23.647","608.314","570.905"
"3","22","13","10","214","19.7","2.8","0.15","171.593","23.277","561.843","526.081"
"3","22","14","16","187","19.5","2.6","0.15","153.452","22.821","505.466","471.701"
"3","22","15","27","128","19.5","2.5","0.15","115.71","22.059","383.273","353.838"
"3","22","16","76","110","18.6","2.5","0.15","112.661","21.088","371.98","342.945"
"3","22","17","0","24","17.1","2.3","0.15","17.475","17.494","50.609","32.961"
"3","22","18","0","0","16.1","2.3","0.15","0","16.1","0","0"
"3","22","19","0","0","15.7","2.4","0.15","0","15.7","0","0"
"3","22","20","0","0","15.7","2.4","0.15","0","15.7","0","0"
"3","22","21","0","0","15.5","2.1","0.15","0","15.5","0","0"
"3","22","22","0","0","15.3","1.7","0.15","0","15.3","0","0"
"3","22","23","0","0","15","1.3","0.15","0","15","0","0"
